Chromosome	Start	End	MANE_Transcript	Near_coding_region
chr1	1335278	1336141	ENST00000378888	three_prime_UTR
chr1	1349066	1349418	ENST00000378888	five_prime_UTR
chr1	1349335	1349671	ENST00000378888	promoter
chr1	1511850	1512229	ENST00000378756	promoter
chr1	1512162	1512268	ENST00000378756	five_prime_UTR
chr1	1534073	1534685	ENST00000378756	three_prime_UTR
chr1	1534778	1535358	ENST00000378733	three_prime_UTR
chr1	1540347	1540624	ENST00000378733	five_prime_UTR
chr1	1540451	1540805	ENST00000378733	promoter
chr1	1785286	1787053	ENST00000378609	three_prime_UTR
chr1	1787054	1787073	ENST00000378609	3_prime_intron
chr1	1787302	1787321	ENST00000378609	3_prime_intron
chr1	1787322	1787330	ENST00000378609	three_prime_UTR
chr1	1825454	1825499	ENST00000378609	five_prime_UTR
chr1	1825500	1825519	ENST00000378609	5_prime_intron
chr1	1839170	1839189	ENST00000378609	5_prime_intron
chr1	1839190	1839238	ENST00000378609	five_prime_UTR
chr1	1839239	1839258	ENST00000378609	5_prime_intron
chr1	1890800	1890819	ENST00000378609	5_prime_intron
chr1	1890820	1891087	ENST00000378609	five_prime_UTR
chr1	1890996	1891331	ENST00000378609	promoter
chr1	2019164	2019423	ENST00000378585	promoter
chr1	2019345	2019423	ENST00000378585	five_prime_UTR
chr1	2030283	2030758	ENST00000378585	three_prime_UTR
chr1	2228053	2228458	ENST00000378536	promoter
chr1	2228319	2228766	ENST00000378536	five_prime_UTR
chr1	2306766	2310213	ENST00000378536	three_prime_UTR
chr1	6101787	6105427	ENST00000262450	three_prime_UTR
chr1	6105428	6105447	ENST00000262450	3_prime_intron
chr1	6106214	6106233	ENST00000262450	3_prime_intron
chr1	6106234	6106279	ENST00000262450	three_prime_UTR
chr1	6106288	6106299	ENST00000262450	3_prime_intron
chr1	6180024	6180321	ENST00000262450	five_prime_UTR
chr1	6180182	6180587	ENST00000262450	promoter
chr1	6424595	6424955	ENST00000645284	promoter
chr1	6424776	6424955	ENST00000645284	five_prime_UTR
chr1	6460147	6460944	ENST00000645284	three_prime_UTR
chr1	6785188	6785530	ENST00000303635	promoter
chr1	6785576	6785593	ENST00000303635	promoter
chr1	6785454	6785530	ENST00000303635	five_prime_UTR
chr1	7766492	7769706	ENST00000303635	three_prime_UTR
chr1	8352404	8355086	ENST00000400908	three_prime_UTR
chr1	8656298	8656441	ENST00000400908	five_prime_UTR
chr1	8656442	8656461	ENST00000400908	5_prime_intron
chr1	8817140	8817159	ENST00000400908	5_prime_intron
chr1	8817160	8817640	ENST00000400908	five_prime_UTR
chr1	8817573	8817968	ENST00000400908	promoter
chr1	9651550	9651973	ENST00000377346	promoter
chr1	9651731	9651802	ENST00000377346	five_prime_UTR
chr1	9651803	9651822	ENST00000377346	5_prime_intron
chr1	9691447	9691466	ENST00000377346	5_prime_intron
chr1	9691467	9691571	ENST00000377346	five_prime_UTR
chr1	9691572	9691591	ENST00000377346	5_prime_intron
chr1	9710404	9710423	ENST00000377346	5_prime_intron
chr1	9710424	9710455	ENST00000377346	five_prime_UTR
chr1	9727047	9729114	ENST00000377346	three_prime_UTR
chr1	11012473	11012721	ENST00000240185	promoter
chr1	11012654	11012743	ENST00000240185	five_prime_UTR
chr1	11012744	11012763	ENST00000240185	5_prime_intron
chr1	11013696	11013715	ENST00000240185	5_prime_intron
chr1	11013716	11013727	ENST00000240185	five_prime_UTR
chr1	11022655	11025492	ENST00000240185	three_prime_UTR
chr1	11106535	11107484	ENST00000361445	three_prime_UTR
chr1	11107501	11107504	ENST00000361445	3_prime_intron
